"","Intercept","lnDiam","Wetness","spp.cagl","spp.cato","spp.fram","spp.list","spp.litu","spp.pita","spp.qual","sppqufa","spp.ulal","lnDiamxWetness","Aleaf"
"1",1,2.73111547403321,6.92653,0,0,0,0,0,0,0,0,0,18.9171532643552,12.9587524086246
"2",1,3.22565280914722,6.085807,0,0,0,0,0,0,0,0,0,19.6307004454778,21.282117232284
"3",1,3.84929617551984,5.6754694,0,0,0,0,0,1,0,0,0,21.8465626556999,32.6864810978549
"4",1,4.18661983833127,6.311348,0,0,0,0,0,1,0,0,0,26.4232147434124,60.4129618199055
"5",1,3.92197333628131,6.392027,0,0,0,0,1,0,0,0,0,25.0693594587902,47.6729697340957
"6",1,3.21567069391925,6.392027,0,0,0,0,1,0,0,0,0,20.5546538986406,25.6938487865625
"7",1,3.3499040872746,4.854308,0,0,0,0,0,0,0,0,0,16.2614662100898,14.9643222142049
"8",1,3.18221184049661,4.52989,0,0,0,0,0,0,0,0,0,14.4150695941472,33.9309805259732
"9",1,3.97930775223374,5.51162,0,0,0,0,0,1,0,0,0,21.9324321933665,61.2269251039683
"10",1,3.84181511038465,4.712172,0,0,0,0,0,1,0,0,0,18.1032935923315,64.9858105713814
"11",1,3.6988297849671,4.956152,0,0,0,0,0,0,1,0,0,18.3319626364243,18.6966547866831
"12",1,3.02042488614436,5.373671,0,0,0,0,0,0,1,0,0,16.2307696183523,9.19060813131895
"13",1,2.68444033546308,5.933576,0,0,0,0,0,0,0,0,0,15.9283307479357,4.45096736898598
"14",1,2.52892353520477,6.027618,1,0,0,0,0,0,0,0,0,15.2433850214239,2.82516123150292
"15",1,3.21366225781531,6.027618,0,0,0,0,0,0,0,1,0,19.3707284711282,8.81857692719687
"16",1,3.68185483917697,6.027618,0,0,0,0,0,1,0,0,0,22.1928145020102,46.2368966740674
"17",1,3.36314931402463,6.027618,0,0,0,0,0,0,0,1,0,20.2717793419025,10.6686789006954
"18",1,3.12588295801904,6.263058,1,0,0,0,0,0,0,0,0,19.5775862672848,20.6158212471625
"19",1,3.13244609686981,5.911688,0,1,0,0,0,0,0,0,0,18.5180440015121,25.6814644337894
"20",1,2.84781214347737,6.311348,0,0,0,1,0,0,0,0,0,17.9735334761116,7.26099912084558
