"","Intercept","lnDiam","Wetness","spp.cagl","spp.cato","spp.fram","spp.list","spp.litu","spp.pita","spp.qual","sppqufa","spp.ulal","lnDiamxWetness","Aleaf"
"61",1,2.88759011493429,5.089801,0,1,0,0,0,0,0,0,0,14.6972590545827,5.76601242034866
"62",1,3.73766961828337,4.956152,0,0,1,0,0,0,0,0,0,18.5244587539944,24.7048796454437
"63",1,3.13983261752775,4.956152,1,0,0,0,0,0,0,0,0,15.5614877070254,14.8797566483659
"64",1,2.83144707924613,4.525837,1,0,0,0,0,0,0,0,0,12.8146679547941,10.7857478399149
"65",1,3.09557760852371,4.52989,0,1,0,0,0,0,0,0,0,14.0226260530755,16.827841458331
"66",1,2.65324196460721,4.019763,0,0,0,0,0,0,0,0,0,10.6654038793754,8.0358239830215
"67",1,3.36729582998647,4.525837,0,0,0,0,0,0,1,0,0,15.2398320572985,11.8639446436659
"68",1,2.92316158071916,4.019763,1,0,0,0,0,0,0,0,0,11.7504167651964,16.0308489231123
"69",1,3.30688670219091,4.220435,0,0,0,0,0,0,1,0,0,13.9565003789611,17.3918524210912
"70",1,3.29212628660779,4.220435,0,0,0,0,0,0,0,0,0,13.8942050044196,10.9700733075502
"71",1,3.95124371858143,5.6754694,0,0,0,1,0,0,0,0,0,22.4251628167511,36.1499631720564
"72",1,3.01062088604774,6.263058,0,0,0,0,0,0,0,0,1,18.8556932253284,10.8398036929
"73",1,2.52652832447882,6.263058,0,0,0,0,0,0,0,0,1,15.8237934348537,5.02503212679138
"74",1,2.56032328907275,6.263058,0,0,0,0,0,0,0,0,1,16.0354532582134,8.97521312303033
"75",1,3.28653447334202,5.089801,0,0,0,0,0,0,1,0,0,16.7278064489507,3.14001464488408
"76",1,3.73361378545411,5.933576,0,0,0,0,0,0,1,0,0,22.1536811506396,10.8978003528473
